Process Monitor Log
==================================================
[subprocess] New Process Detected - PID: 355, Command: ps, Timestamp: Fri Dec  6 11:34:30 2024
[subprocess] New Process Detected - PID: 356, Command: ps, Timestamp: Fri Dec  6 11:34:31 2024
[subprocess] New Process Detected - PID: 357, Command: ps, Timestamp: Fri Dec  6 11:34:32 2024
[subprocess] New Process Detected - PID: 358, Command: ps, Timestamp: Fri Dec  6 11:34:33 2024
[subprocess] New Process Detected - PID: 359, Command: ps, Timestamp: Fri Dec  6 11:34:34 2024
[subprocess] New Process Detected - PID: 360, Command: ps, Timestamp: Fri Dec  6 11:34:35 2024
[subprocess] New Process Detected - PID: 361, Command: ps, Timestamp: Fri Dec  6 11:34:36 2024
[subprocess] New Process Detected - PID: 362, Command: ps, Timestamp: Fri Dec  6 11:34:38 2024
[subprocess] New Process Detected - PID: 363, Command: ps, Timestamp: Fri Dec  6 11:34:39 2024
[subprocess] New Process Detected - PID: 364, Command: ps, Timestamp: Fri Dec  6 11:34:40 2024
[subprocess] New Process Detected - PID: 365, Command: ps, Timestamp: Fri Dec  6 11:34:41 2024
[subprocess] New Process Detected - PID: 366, Command: ps, Timestamp: Fri Dec  6 11:34:42 2024
[subprocess] New Process Detected - PID: 367, Command: ps, Timestamp: Fri Dec  6 11:34:43 2024
[subprocess] New Process Detected - PID: 368, Command: ps, Timestamp: Fri Dec  6 11:34:44 2024
[subprocess] New Process Detected - PID: 369, Command: ps, Timestamp: Fri Dec  6 11:34:45 2024
[subprocess] New Process Detected - PID: 370, Command: ps, Timestamp: Fri Dec  6 11:34:46 2024
[subprocess] New Process Detected - PID: 371, Command: ps, Timestamp: Fri Dec  6 11:34:47 2024
[subprocess] New Process Detected - PID: 372, Command: ps, Timestamp: Fri Dec  6 11:34:48 2024
[subprocess] New Process Detected - PID: 373, Command: ps, Timestamp: Fri Dec  6 11:34:49 2024
[subprocess] New Process Detected - PID: 374, Command: ps, Timestamp: Fri Dec  6 11:34:50 2024
[subprocess] New Process Detected - PID: 375, Command: ps, Timestamp: Fri Dec  6 11:34:51 2024
[subprocess] New Process Detected - PID: 376, Command: ps, Timestamp: Fri Dec  6 11:34:52 2024
[subprocess] New Process Detected - PID: 377, Command: ps, Timestamp: Fri Dec  6 11:34:53 2024
[subprocess] New Process Detected - PID: 378, Command: ps, Timestamp: Fri Dec  6 11:34:54 2024
[subprocess] New Process Detected - PID: 379, Command: ps, Timestamp: Fri Dec  6 11:34:55 2024
[subprocess] New Process Detected - PID: 380, Command: ps, Timestamp: Fri Dec  6 11:34:56 2024
[subprocess] New Process Detected - PID: 381, Command: ps, Timestamp: Fri Dec  6 11:34:57 2024
[subprocess] New Process Detected - PID: 382, Command: ps, Timestamp: Fri Dec  6 11:34:58 2024
[subprocess] New Process Detected - PID: 383, Command: ps, Timestamp: Fri Dec  6 11:34:59 2024
[subprocess] New Process Detected - PID: 384, Command: ps, Timestamp: Fri Dec  6 11:35:00 2024
[subprocess] New Process Detected - PID: 385, Command: ps, Timestamp: Fri Dec  6 11:35:01 2024
[subprocess] New Process Detected - PID: 386, Command: ps, Timestamp: Fri Dec  6 11:35:02 2024
[subprocess] New Process Detected - PID: 387, Command: ps, Timestamp: Fri Dec  6 11:35:03 2024
[subprocess] New Process Detected - PID: 388, Command: ps, Timestamp: Fri Dec  6 11:35:04 2024
[subprocess] New Process Detected - PID: 389, Command: ps, Timestamp: Fri Dec  6 11:35:05 2024
[subprocess] New Process Detected - PID: 390, Command: ps, Timestamp: Fri Dec  6 11:35:06 2024
